Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
510,tt15791034,2022-10-25,2022-10-25,,"Barbarian","Barbarian",https://www.imdb.com/title/tt15791034/,Movie,7.0,102,2022,"Horror, Mystery, Thriller",253123,2022-09-09,"Zach Cregger",5,2022-10-27
511,tt2900624,2022-10-25,2022-10-25,,"All Hallows' Eve","All Hallows' Eve",https://www.imdb.com/title/tt2900624/,Movie,5.2,83,2013,"Horror, Thriller",18947,2013-10-29,"Damien Leone",6,2022-10-25
512,tt10403420,2022-10-25,2022-10-25,,"Terrifier 2","Terrifier 2",https://www.imdb.com/title/tt10403420/,Movie,6.0,138,2022,"Horror",80596,2022-10-06,"Damien Leone",8,2022-10-25
513,tt4281724,2022-10-25,2022-10-25,,"Terrifier","Terrifier",https://www.imdb.com/title/tt4281724/,Movie,5.5,85,2016,"Horror",92787,2018-03-27,"Damien Leone",7,2022-10-25
514,tt10665342,2022-10-25,2022-10-25,,"Halloween Ends","Halloween Ends",https://www.imdb.com/title/tt10665342/,Movie,5.0,111,2022,"Horror, Thriller",81836,2022-10-14,"David Gordon Green",7,2022-10-25
515,tt0887261,2022-10-25,2022-10-25,,"Hellraiser","Hellraiser",https://www.imdb.com/title/tt0887261/,Movie,5.9,121,2022,"Horror, Mystery, Thriller",54897,2022-10-07,"David Bruckner",8,2022-10-25
516,tt0093177,2022-10-25,2022-10-25,,"Hellraiser","Hellraiser",https://www.imdb.com/title/tt0093177/,Movie,6.9,94,1987,"Horror, Thriller",152338,1987-09-18,"Clive Barker",7,2022-10-25
517,tt0095294,2022-10-25,2022-10-25,,"Hellbound: Hellraiser II","Hellbound: Hellraiser II",https://www.imdb.com/title/tt0095294/,Movie,6.4,97,1988,"Horror, Thriller",60308,1988-12-23,"Tony Randel",7,2022-10-25
518,tt1288558,2022-10-25,2022-10-25,,"Evil Dead","Evil Dead",https://www.imdb.com/title/tt1288558/,Movie,6.5,91,2013,"Horror, Thriller",210672,2013-04-05,"Fede Alvarez",3,2022-10-26
519,tt12908110,2022-10-25,2022-10-25,,"Mr. Harrigan's Phone","Mr. Harrigan's Phone",https://www.imdb.com/title/tt12908110/,Movie,6.0,104,2022,"Drama, Horror, Mystery",43737,2022-10-05,"John Lee Hancock",5,2022-10-25
520,tt4160708,2022-10-26,2022-10-26,,"Don't Breathe","Don't Breathe",https://www.imdb.com/title/tt4160708/,Movie,7.1,88,2016,"Crime, Horror, Thriller",327122,2016-08-26,"Fede Alvarez",6,2022-10-26
521,tt3065204,2022-10-26,2022-10-26,,"The Conjuring 2","The Conjuring 2",https://www.imdb.com/title/tt3065204/,Movie,7.3,134,2016,"Horror, Mystery, Thriller",338047,2016-06-10,"James Wan",7,2022-10-26
522,tt7069210,2022-10-26,2022-10-26,,"The Conjuring: The Devil Made Me Do It","The Conjuring: The Devil Made Me Do It",https://www.imdb.com/title/tt7069210/,Movie,6.2,112,2021,"Horror, Mystery, Thriller",166012,2021-06-04,"Michael Chaves",6,2022-10-26
523,tt0021814,2022-10-26,2022-10-26,,"Dracula","Dracula",https://www.imdb.com/title/tt0021814/,Movie,7.3,75,1931,"Drama, Fantasy, Horror",64184,1931-02-14,"Tod Browning, Karl Freund",8,2022-10-26
